Timestamp_UTC,AirTemp_C,GroundTemp_0cm_C,GroundTemp_10p5cm_C,GroundTemp_23cm_C,GroundTemp_34p5cm_C,QC_AirTemp_C,QC_GroundTemp_0cm_C,QC_GroundTemp_10p5cm_C,QC_GroundTemp_23cm_C,QC_GroundTemp_34p5cm_C
2025-01-11 19:00:00,-26.49,-10.7922222222222,-10.4761111111111,-9.885,-9.43888888888889,0,0,0,0,0
2025-01-11 20:00:00,-26.0772222222222,-10.6511111111111,-10.4061111111111,-9.81611111111111,-9.37111111111111,0,0,0,0,0
2025-01-11 21:00:00,-22.7288888888889,-10.6511111111111,-10.4061111111111,-9.81611111111111,-9.37111111111111,0,0,0,0,0
2025-01-11 22:00:00,-20.12,-10.6511111111111,-10.4061111111111,-9.81611111111111,-9.37111111111111,0,0,0,0,0
2025-01-11 23:00:00,-17.8127777777778,-10.6161111111111,-10.4061111111111,-9.81611111111111,-9.37111111111111,0,0,0,0,0
2025-01-12 00:00:00,-19.3772222222222,-10.6161111111111,-10.4061111111111,-9.81611111111111,-9.37111111111111,0,0,0,0,0
2025-01-12 01:00:00,-19.1027777777778,-10.6161111111111,-10.4061111111111,-9.78222222222222,-9.37111111111111,0,0,0,0,0
2025-01-12 02:00:00,-17.4238888888889,-10.6161111111111,-10.3711111111111,-9.78222222222222,-9.33722222222222,0,0,0,0,0
2025-01-12 03:00:00,-16.9122222222222,-10.6161111111111,-10.3711111111111,-9.78222222222222,-9.33722222222222,0,0,0,0,0
2025-01-12 04:00:00,-14.865,-10.5811111111111,-10.3711111111111,-9.78222222222222,-9.33722222222222,0,0,0,0,0
2025-01-12 05:00:00,-15.1038888888889,-10.5811111111111,-10.3711111111111,-9.78222222222222,-9.33722222222222,0,0,0,0,0
2025-01-12 06:00:00,-14.4711111111111,-10.5461111111111,-10.3361111111111,-9.78222222222222,-9.33722222222222,0,0,0,0,0
2025-01-12 07:00:00,-15.385,-10.5461111111111,-10.3361111111111,-9.78222222222222,-9.33722222222222,0,0,0,0,0
2025-01-12 08:00:00,-15.0638888888889,-10.5111111111111,-10.3361111111111,-9.74722222222222,-9.33722222222222,0,0,0,0,0
2025-01-12 09:00:00,-16.2427777777778,-10.4761111111111,-10.3011111111111,-9.74722222222222,-9.33722222222222,0,0,0,0,0
2025-01-12 10:00:00,-16.8277777777778,-10.4761111111111,-10.2661111111111,-9.74722222222222,-9.30277777777778,0,0,0,0,0
2025-01-12 11:00:00,-18.6522222222222,-10.4411111111111,-10.2661111111111,-9.71277777777778,-9.33722222222222,0,0,0,0,0
2025-01-12 12:00:00,-18.9222222222222,-10.4061111111111,-10.2661111111111,-9.71277777777778,-9.30277777777778,0,0,0,0,0
2025-01-12 13:00:00,-20.8827777777778,-10.4061111111111,-10.2311111111111,-9.71277777777778,-9.30277777777778,0,0,0,0,0
2025-01-12 14:00:00,-19.6538888888889,-10.3711111111111,-10.2311111111111,-9.71277777777778,-9.30277777777778,0,0,0,0,0
2025-01-12 15:00:00,-19.3311111111111,-10.3361111111111,-10.1972222222222,-9.67888888888889,-9.26888888888889,0,0,0,0,0
2025-01-12 16:00:00,-19.3311111111111,-10.3011111111111,-10.1622222222222,-9.67888888888889,-9.26888888888889,0,0,0,0,0
2025-01-12 17:00:00,-19.7461111111111,-10.3011111111111,-10.1622222222222,-9.64388888888889,-9.26888888888889,0,0,0,0,0
2025-01-12 18:00:00,-20.0727777777778,-10.2661111111111,-10.1272222222222,-9.64388888888889,-9.26888888888889,0,0,0,0,0
2025-01-12 19:00:00,-19.3311111111111,-10.2661111111111,-10.1272222222222,-9.64388888888889,-9.235,0,0,0,0,0
2025-01-12 20:00:00,-18.2961111111111,-10.2311111111111,-10.0922222222222,-9.61,-9.235,0,0,0,0,0
2025-01-12 21:00:00,-18.9222222222222,-10.2311111111111,-10.0922222222222,-9.61,-9.235,0,0,0,0,0
2025-01-12 22:00:00,-18.12,-10.2311111111111,-10.0577777777778,-9.57611111111111,-9.20222222222222,0,0,0,0,0
2025-01-12 23:00:00,-16.9972222222222,-10.1972222222222,-10.0577777777778,-9.57611111111111,-9.20222222222222,0,0,0,0,0
2025-01-13 00:00:00,-16.2838888888889,-10.1972222222222,-10.0577777777778,-9.57611111111111,-9.20222222222222,0,0,0,0,0
2025-01-13 01:00:00,-15.5472222222222,-10.1622222222222,-10.0577777777778,-9.57611111111111,-9.20222222222222,0,0,0,0,0
2025-01-13 02:00:00,-15.0238888888889,-10.1622222222222,-10.0227777777778,-9.54222222222222,-9.16777777777778,0,0,0,0,0
2025-01-13 03:00:00,-14.3922222222222,-10.1622222222222,-10.0227777777778,-9.54222222222222,-9.16777777777778,0,0,0,0,0
2025-01-13 04:00:00,-13.9261111111111,-10.1272222222222,-9.98888888888889,-9.54222222222222,-9.16777777777778,0,0,0,0,0
2025-01-13 05:00:00,-13.315,-10.1272222222222,-9.98888888888889,-9.54222222222222,-9.13388888888889,0,0,0,0,0
2025-01-13 06:00:00,-12.8627777777778,-10.1272222222222,-9.98888888888889,-9.50777777777778,-9.13388888888889,0,0,0,0,0
2025-01-13 07:00:00,-12.38,-10.0922222222222,-9.95388888888889,-9.50777777777778,-9.13388888888889,0,0,0,0,0
2025-01-13 08:00:00,-11.04,-10.0577777777778,-9.91888888888889,-9.50777777777778,-9.13388888888889,0,0,0,0,0
2025-01-13 09:00:00,-10.4411111111111,-10.0227777777778,-9.91888888888889,-9.47277777777778,-9.13388888888889,0,0,0,0,0
2025-01-13 10:00:00,-11.2177777777778,-9.98888888888889,-9.885,-9.47277777777778,-9.1,0,0,0,0,0
