Timestamp_UTC,AirTemp_C,GroundTemp_0cm_C,GroundTemp_24p2cm_C,GroundTemp_47cm_C,GroundTemp_69p8cm_C,QC_AirTemp_C,QC_GroundTemp_0cm_C,QC_GroundTemp_24p2cm_C,QC_GroundTemp_47cm_C,QC_GroundTemp_69p8cm_C
2024-07-25 01:00:00,30.0411111111111,23.2322222222222,14.6972222222222,6.585,1.45277777777778,0,0,0,0,0
2024-07-25 02:00:00,30.8488888888889,22.345,6.35722222222222,1.67,0.0238888888888885,0,0,1,1,1
2024-07-25 03:00:00,29.4388888888889,21.4611111111111,5.94888888888889,1.50722222222222,0.0238888888888885,0,0,0,0,0
2024-07-25 04:00:00,29.065,20.7461111111111,5.79611111111111,1.45277777777778,0.0238888888888885,0,0,0,0,0
2024-07-25 05:00:00,27.85,19.6977777777778,5.66777777777778,1.45277777777778,0.0511111111111104,0,0,0,0,0
2024-07-25 06:00:00,26.5977777777778,18.6988888888889,5.53888888888889,1.45277777777778,0.0511111111111104,0,0,0,0,0
2024-07-25 07:00:00,21.6277777777778,16.4627777777778,5.30777777777778,1.45277777777778,0.0511111111111104,0,0,0,0,0
2024-07-25 08:00:00,17.0111111111111,13.8822222222222,5.02388888888889,1.48,0.0511111111111104,0,0,0,0,0
2024-07-25 09:00:00,14.385,11.7827777777778,4.76611111111111,1.48,0.0511111111111104,0,0,0,0,0
2024-07-25 10:00:00,12.34,10.1727777777778,4.53222222222222,1.48,0.0511111111111104,0,0,0,0,0
2024-07-25 11:00:00,11.0777777777778,8.81722222222222,4.29777777777778,1.48,0.0511111111111104,0,0,0,0,0
2024-07-25 12:00:00,9.85388888888889,7.82,4.08888888888889,1.50722222222222,0.0511111111111104,0,0,0,0,0
2024-07-25 13:00:00,11.175,7.51888888888889,3.95777777777778,1.48,0.0511111111111104,0,0,0,0,0
2024-07-25 14:00:00,12.1711111111111,7.46888888888889,3.85388888888889,1.48,0.0511111111111104,0,0,0,0,0
2024-07-25 15:00:00,16.2961111111111,8.81722222222222,3.90611111111111,1.48,0.0511111111111104,0,0,0,0,0
2024-07-25 16:00:00,18.9611111111111,11.0288888888889,4.03722222222222,1.45277777777778,0.0788888888888906,0,0,0,0,0
2024-07-25 17:00:00,22.3688888888889,13.4488888888889,4.22,1.45277777777778,0.0511111111111104,0,0,0,0,0
2024-07-25 18:00:00,25.4038888888889,17.8427777777778,4.71388888888889,1.45277777777778,0.0788888888888906,0,0,0,0,0
2024-07-25 19:00:00,27.7022222222222,18.8422222222222,4.76611111111111,1.425,0.0511111111111104,0,0,0,0,0
2024-07-25 20:00:00,30.1422222222222,18.6038888888889,4.81777777777778,1.39777777777778,0.0238888888888885,0,0,0,0,0
2024-07-25 21:00:00,30.3938888888889,20.8172222222222,5.10222222222222,1.39777777777778,0.0238888888888885,0,0,0,0,0
2024-07-25 22:00:00,31.2038888888889,22.2022222222222,5.28222222222222,1.39777777777778,0.0238888888888885,0,0,0,0,0
2024-07-25 23:00:00,31.1788888888889,25.065,5.69277777777778,1.39777777777778,0.0238888888888885,0,0,0,0,0
2024-07-26 00:00:00,30.1922222222222,22.5127777777778,5.53888888888889,1.39777777777778,0.0511111111111104,0,0,0,0,0
2024-07-26 01:00:00,25.2577777777778,19.865,5.36,1.425,0.0511111111111104,0,0,0,0,0
2024-07-26 02:00:00,24.0261111111111,18.5088888888889,5.25722222222222,1.425,0.0511111111111104,0,0,0,0,0
2024-07-26 03:00:00,25.6227777777778,18.1522222222222,5.30777777777778,1.425,0.0788888888888906,0,0,0,0,0
2024-07-26 04:00:00,25.8411111111111,18.0327777777778,5.28222222222222,1.45277777777778,0.0511111111111104,0,0,0,0,0
2024-07-26 05:00:00,23.0161111111111,17.2011111111111,5.17888888888889,1.45277777777778,0.0788888888888906,0,0,0,0,0
2024-07-26 06:00:00,22.2261111111111,16.4627777777778,5.07611111111111,1.48,0.0788888888888906,0,0,0,0,0
2024-07-26 07:00:00,19.8411111111111,14.8877777777778,4.895,1.48,0.0788888888888906,0,0,0,0,0
2024-07-26 08:00:00,18.4611111111111,13.8577777777778,4.76611111111111,1.48,0.0788888888888906,0,0,0,0,0
2024-07-26 09:00:00,18.4611111111111,13.2088888888889,4.66222222222222,1.50722222222222,0.0788888888888906,0,0,0,0,0
2024-07-26 10:00:00,17.7477777777778,12.7988888888889,4.55777777777778,1.50722222222222,0.0788888888888906,0,0,0,0,0
2024-07-26 11:00:00,18.5327777777778,12.8711111111111,4.53222222222222,1.50722222222222,0.0788888888888906,0,0,0,0,0
2024-07-26 12:00:00,16.915,12.5088888888889,4.42777777777778,1.50722222222222,0.0788888888888906,0,0,0,0,0
2024-07-26 13:00:00,15.2938888888889,11.8322222222222,4.32388888888889,1.50722222222222,0.0788888888888906,0,0,0,0,0
2024-07-26 14:00:00,15.3177777777778,11.54,4.24611111111111,1.50722222222222,0.0788888888888906,0,0,0,0,0
2024-07-26 15:00:00,16.01,11.8072222222222,4.24611111111111,1.50722222222222,0.0788888888888906,0,0,0,0,0
2024-07-26 16:00:00,15.5088888888889,12.0011111111111,4.22,1.50722222222222,0.0788888888888906,0,0,0,0,0
2024-07-26 17:00:00,15.605,12.2922222222222,4.19388888888889,1.50722222222222,0.0788888888888906,0,0,0,0,0
2024-07-26 18:00:00,16.0577777777778,12.7988888888889,4.22,1.50722222222222,0.0788888888888906,0,0,0,0,0
2024-07-26 19:00:00,16.6061111111111,13.57,4.24611111111111,1.50722222222222,0.0788888888888906,0,0,0,0,0
