Timestamp_UTC,AirTemp_C,GroundTemp_0cm_C,GroundTemp_18p7cm_C,GroundTemp_39p9cm_C,GroundTemp_59p8cm_C,QC_AirTemp_C,QC_GroundTemp_0cm_C,QC_GroundTemp_18p7cm_C,QC_GroundTemp_39p9cm_C,QC_GroundTemp_59p8cm_C
2023-08-09 23:00:00,21.103,14.673,8.17,1.697,0.163,0,0,0,0,0
2023-08-10 00:00:00,17.368,13.642,7.217,1.398,0.079,0,1,1,1,0
2023-08-10 01:00:00,17.534,13.906,10.932,2.182,0.163,0,0,1,1,0
2023-08-10 02:00:00,16.701,13.978,8.792,1.832,0.079,0,0,1,0,0
2023-08-10 03:00:00,15.557,14.002,8.02,1.778,0.079,0,0,0,0,0
2023-08-10 04:00:00,15.366,13.738,7.67,1.724,0.079,0,0,0,0,0
2023-08-10 05:00:00,14.745,13.425,7.444,1.724,0.079,0,0,0,0,0
2023-08-10 06:00:00,14.194,13.016,7.293,1.697,0.107,0,0,0,0,0
2023-08-10 07:00:00,14.002,12.751,7.116,1.697,0.079,0,0,0,0,0
2023-08-10 08:00:00,13.594,12.509,6.965,1.67,0.107,0,0,0,0,0
2023-08-10 09:00:00,13.473,12.171,6.788,1.67,0.107,0,0,0,0,0
2023-08-10 10:00:00,13.449,11.807,6.611,1.67,0.107,0,0,0,0,0
2023-08-10 11:00:00,14.314,11.71,6.509,1.643,0.107,0,0,0,0,0
2023-08-10 12:00:00,13.161,11.589,6.433,1.643,0.107,0,0,0,0,0
2023-08-10 13:00:00,13.762,11.467,6.331,1.615,0.107,0,0,0,0,0
2023-08-10 14:00:00,14.529,11.686,6.331,1.615,0.107,0,0,0,0,0
2023-08-10 15:00:00,14.601,12.122,6.357,1.615,0.107,0,0,0,0,0
2023-08-10 16:00:00,14.05,12.364,6.382,1.588,0.107,0,0,0,0,0
2023-08-10 17:00:00,13.642,12.509,6.433,1.588,0.107,0,0,0,0,0
2023-08-10 18:00:00,13.522,12.558,6.433,1.588,0.107,0,0,0,0,0
2023-08-10 19:00:00,13.93,12.509,6.433,1.561,0.107,0,1,0,0,0
2023-08-10 20:00:00,15.509,13.305,6.585,1.561,0.135,0,0,0,0,0
2023-08-10 21:00:00,16.177,13.906,6.839,1.561,0.107,0,0,0,0,0
2023-08-10 22:00:00,16.915,14.337,6.99,1.534,0.107,0,0,0,0,0
2023-08-10 23:00:00,17.463,14.577,7.167,1.534,0.135,0,0,0,0,0
2023-08-11 00:00:00,18.39,14.792,7.293,1.534,0.135,0,0,0,0,0
2023-08-11 01:00:00,18.557,14.792,7.368,1.507,0.135,0,0,0,0,0
2023-08-11 02:00:00,16.654,14.529,7.343,1.534,0.135,0,0,0,0,0
2023-08-11 03:00:00,16.844,14.122,7.268,1.507,0.135,0,0,0,0,0
2023-08-11 04:00:00,16.606,13.93,7.217,1.507,0.135,0,0,0,0,0
