Timestamp_UTC,AirTemp_C,GroundTemp_0cm_C,GroundTemp_12p33cm_C,GroundTemp_24p67cm_C,GroundTemp_37cm_C,QC_AirTemp_C,QC_GroundTemp_0cm_C,QC_GroundTemp_12p33cm_C,QC_GroundTemp_24p67cm_C,QC_GroundTemp_37cm_C
2024-07-23 23:00:00,20.1738888888889,23.6411111111111,7.995,3.22111111111111,0.38388888888889,0,0,0,0,0
2024-07-24 00:00:00,21.485,23.3761111111111,8.27,3.195,0.38388888888889,0,0,0,0,0
2024-07-24 01:00:00,22.2977777777778,22.2738888888889,8.59277777777778,3.195,0.328888888888888,0,0,0,0,0
2024-07-24 02:00:00,22.6811111111111,20.96,8.86611111111111,3.22111111111111,0.38388888888889,0,0,0,0,0
2024-07-24 03:00:00,22.7288888888889,19.4838888888889,9.08888888888889,3.24777777777778,0.35611111111111,0,0,0,0,0
2024-07-24 04:00:00,22.1061111111111,18.1522222222222,9.26222222222222,3.30111111111111,0.38388888888889,0,0,0,0,0
2024-07-24 05:00:00,21.0788888888889,16.915,9.41,3.35388888888889,0.412222222222221,0,0,0,0,0
2024-07-24 06:00:00,20.65,15.5811111111111,9.485,3.40611111111111,0.438888888888888,0,0,0,0,0
2024-07-24 07:00:00,17.0111111111111,14.29,9.50888888888889,3.45888888888889,0.438888888888888,0,0,0,0,0
2024-07-24 08:00:00,14.745,12.7272222222222,9.46,3.51222222222222,0.438888888888888,0,0,0,0,0
2024-07-24 09:00:00,12.5338888888889,11.9288888888889,9.41,3.56388888888889,0.467222222222223,0,0,0,0,0
2024-07-24 10:00:00,11.3461111111111,11.3461111111111,9.31222222222222,3.59111111111111,0.467222222222223,0,0,0,0,0
2024-07-24 11:00:00,12.8227777777778,11.1272222222222,9.21277777777778,3.61722222222222,0.494999999999999,0,0,0,0,0
2024-07-24 12:00:00,13.1122222222222,11.1022222222222,9.08888888888889,3.67,0.494999999999999,0,0,0,0,0
2024-07-24 13:00:00,13.7861111111111,10.6872222222222,8.965,3.72222222222222,0.494999999999999,0,0,0,0,0
2024-07-24 14:00:00,14.385,11.175,8.84111111111111,3.72222222222222,0.494999999999999,0,0,0,0,0
2024-07-24 15:00:00,17.415,13.0161111111111,8.79222222222222,3.775,0.522222222222221,0,0,0,0,0
2024-07-24 16:00:00,18.6277777777778,14.17,8.71722222222222,3.775,0.522222222222221,0,0,0,0,0
2024-07-24 17:00:00,19.9838888888889,15.4611111111111,8.69277777777778,3.775,0.550000000000001,0,0,0,0,0
2024-07-24 18:00:00,21.1272222222222,16.8922222222222,8.71722222222222,3.80111111111111,0.550000000000001,0,0,0,0,0
2024-07-24 19:00:00,22.9922222222222,18.6277777777778,8.76722222222222,3.80111111111111,0.550000000000001,0,0,0,0,0
2024-07-24 20:00:00,23.7127777777778,21.5572222222222,8.86611111111111,3.80111111111111,0.577222222222223,0,0,0,0,0
2024-07-24 21:00:00,24.5322222222222,22.8961111111111,9.04,3.80111111111111,0.550000000000001,0,0,0,0,0
2024-07-24 22:00:00,25.6227777777778,23.28,9.26222222222222,3.80111111111111,0.550000000000001,0,0,0,0,0
2024-07-24 23:00:00,26.1822222222222,23.3038888888889,9.53388888888889,3.82722222222222,0.604999999999999,0,0,0,0,0
2024-07-25 00:00:00,25.7927777777778,23.2322222222222,9.75611111111111,3.82722222222222,0.577222222222223,0,0,0,0,0
2024-07-25 01:00:00,26.5488888888889,22.2977777777778,10.0261111111111,3.85388888888889,0.604999999999999,0,0,0,0,0
2024-07-25 02:00:00,25.89,20.77,10.1977777777778,3.85388888888889,0.577222222222223,0,0,0,0,0
2024-07-25 03:00:00,25.55,19.2461111111111,10.345,3.90611111111111,0.604999999999999,0,0,0,0,0
2024-07-25 04:00:00,25.2827777777778,18.1288888888889,10.4427777777778,3.93222222222222,0.604999999999999,0,0,0,0,0
2024-07-25 05:00:00,24.8472222222222,17.13,10.4922222222222,3.985,0.632222222222221,0,0,0,0,0
2024-07-25 06:00:00,22.345,16.0822222222222,10.4922222222222,4.03722222222222,0.632222222222221,0,0,0,0,0
2024-07-25 07:00:00,17.4627777777778,14.745,10.4672222222222,4.08888888888889,0.660000000000001,0,0,0,0,0
2024-07-25 08:00:00,15.1027777777778,13.2572222222222,10.3938888888889,4.115,0.715,0,0,0,0,0
2024-07-25 09:00:00,12.3638888888889,11.6127777777778,10.2711111111111,4.16777777777778,0.715,0,0,0,0,0
2024-07-25 10:00:00,11.0288888888889,10.4922222222222,10.1238888888889,4.19388888888889,0.715,0,0,0,0,0
2024-07-25 11:00:00,8.54277777777778,9.92777777777778,9.95222222222222,4.24611111111111,0.715,0,0,0,0,0
2024-07-25 12:00:00,9.50888888888889,9.015,9.75611111111111,4.24611111111111,0.715,0,0,0,0,0
2024-07-25 13:00:00,10.6377777777778,9.41,9.58277777777778,4.29777777777778,0.770000000000002,0,0,0,0,0
2024-07-25 14:00:00,13.0877777777778,10.1727777777778,9.435,4.32388888888889,0.770000000000002,0,0,0,0,0
2024-07-25 15:00:00,16.3438888888889,11.0288888888889,9.28722222222222,4.32388888888889,0.797222222222223,0,0,0,0,0
2024-07-25 16:00:00,18.0811111111111,12.485,9.16277777777778,4.32388888888889,0.825,0,0,0,0,0
2024-07-25 17:00:00,21.175,14.6727777777778,9.11388888888889,4.32388888888889,0.825,0,0,0,0,0
2024-07-25 18:00:00,24.1461111111111,18.4611111111111,9.11388888888889,4.29777777777778,0.825,0,0,0,0,0
2024-07-25 19:00:00,23.8572222222222,21.3177777777778,9.16277777777778,4.29777777777778,0.825,0,0,0,0,0
2024-07-25 20:00:00,25.6711111111111,23.3277777777778,9.28722222222222,4.27222222222222,0.825,0,0,0,0,0
2024-07-25 21:00:00,27.4072222222222,25.5977777777778,9.485,4.27222222222222,0.852222222222222,0,0,0,0,0
2024-07-25 22:00:00,27.4072222222222,25.8661111111111,9.75611111111111,4.24611111111111,0.825,0,0,0,0,0
2024-07-25 23:00:00,28.0972222222222,26.0361111111111,10.0011111111111,4.24611111111111,0.852222222222222,0,0,0,0,0
2024-07-26 00:00:00,26.9161111111111,23.2322222222222,10.1977777777778,4.24611111111111,0.852222222222222,0,0,0,0,0
2024-07-26 01:00:00,27.8011111111111,22.465,10.4672222222222,4.27222222222222,0.880000000000002,0,0,0,0,0
2024-07-26 02:00:00,25.355,20.6027777777778,10.565,4.29777777777778,0.880000000000002,0,0,0,0,0
2024-07-26 03:00:00,25.355,20.8888888888889,10.7361111111111,4.29777777777778,0.880000000000002,0,0,0,0,0
2024-07-26 04:00:00,22.8,18.7938888888889,10.785,4.35,0.907222222222224,0,0,0,0,0
2024-07-26 05:00:00,21.2461111111111,17.225,10.8338888888889,4.35,0.933888888888887,0,0,0,0,0
2024-07-26 06:00:00,18.4138888888889,15.9388888888889,10.8338888888889,4.40222222222222,0.933888888888887,0,0,0,0,0
2024-07-26 07:00:00,16.1061111111111,14.5527777777778,10.785,4.45388888888889,0.933888888888887,0,0,0,0,0
2024-07-26 08:00:00,14.9838888888889,13.7622222222222,10.7122222222222,4.48,0.962222222222222,0,0,0,0,0
2024-07-26 09:00:00,13.81,13.4011111111111,10.6138888888889,4.53222222222222,0.98888888888889,0,0,0,0,0
2024-07-26 10:00:00,12.8961111111111,13.04,10.4922222222222,4.55777777777778,0.98888888888889,0,0,0,0,0
2024-07-26 11:00:00,12.025,12.5822222222222,10.3688888888889,4.58388888888889,0.98888888888889,0,0,0,0,0
2024-07-26 12:00:00,11.37,12.025,10.2222222222222,4.61,1.01722222222222,0,0,0,0,0
2024-07-26 13:00:00,10.7611111111111,11.7827777777778,10.1,4.63611111111111,1.04388888888889,0,0,0,0,0
2024-07-26 14:00:00,10.6138888888889,11.6372222222222,9.97722222222222,4.66222222222222,1.04388888888889,0,0,0,0,0
2024-07-26 15:00:00,8.94111111111111,11.37,9.85388888888889,4.68777777777778,1.07111111111111,0,0,0,0,0
2024-07-26 16:00:00,7.46888888888889,11.1272222222222,9.68222222222222,4.66222222222222,1.09888888888889,0,0,0,0,0
2024-07-26 17:00:00,7.59388888888889,11.37,9.53388888888889,4.63611111111111,1.09888888888889,0,0,0,0,0
2024-07-26 18:00:00,7.56888888888889,11.8322222222222,9.38611111111111,4.63611111111111,1.09888888888889,0,0,0,0,0
2024-07-26 19:00:00,7.61888888888889,11.2727777777778,9.26222222222222,4.63611111111111,1.09888888888889,0,0,0,1,0
2024-07-26 20:00:00,9.16277777777778,12.3161111111111,9.18777777777778,6.73722222222222,1.12611111111111,0,0,0,1,0
2024-07-26 21:00:00,9.06388888888889,12.6777777777778,9.08888888888889,6.73722222222222,1.12611111111111,0,0,0,1,0
2024-07-26 22:00:00,7.56888888888889,11.7588888888889,8.99,8.045,1.15277777777778,0,0,0,1,0
2024-07-26 23:00:00,7.24222222222222,11.4672222222222,8.91611111111111,6.40777777777778,1.15277777777778,0,0,0,1,0
2024-07-27 00:00:00,6.43277777777778,11.005,8.84111111111111,7.015,1.15277777777778,0,0,0,1,0
2024-07-27 01:00:00,4.86888888888889,10.075,8.74222222222222,9.73111111111111,1.15277777777778,0,0,0,1,0
2024-07-27 02:00:00,4.29777777777778,9.13888888888889,8.61777777777778,10.0011111111111,1.18,0,0,0,0,0
2024-07-27 03:00:00,3.90611111111111,8.17,8.51888888888889,9.97722222222222,1.18,0,0,0,0,0
2024-07-27 04:00:00,3.51222222222222,6.965,8.41888888888889,10.0261111111111,1.18,0,0,0,0,0
2024-07-27 05:00:00,3.30111111111111,6.86388888888889,8.245,9.65722222222222,1.18,0,0,0,0,0
2024-07-27 06:00:00,3.195,6.83888888888889,8.045,9.38611111111111,1.20777777777778,0,0,0,0,0
2024-07-27 07:00:00,2.85,6.45777777777778,7.87,9.31222222222222,1.20777777777778,0,0,0,0,0
2024-07-27 08:00:00,2.79722222222222,6.02611111111111,7.695,9.435,1.20777777777778,0,0,0,0,0
2024-07-27 09:00:00,2.26222222222222,5.77,7.49388888888889,9.41,1.20777777777778,0,0,0,0,0
2024-07-27 10:00:00,1.96722222222222,5.51388888888889,7.31777777777778,9.31222222222222,1.20777777777778,0,0,0,0,0
2024-07-27 11:00:00,1.83222222222222,5.25722222222222,7.11611111111111,9.31222222222222,1.20777777777778,0,0,0,0,0
2024-07-27 12:00:00,1.99388888888889,5.07611111111111,6.94,9.18777777777778,1.20777777777778,0,0,0,0,0
2024-07-27 13:00:00,1.85888888888889,4.895,6.78777777777778,9.06388888888889,1.20777777777778,0,0,0,0,0
2024-07-27 14:00:00,1.77777777777778,4.68777777777778,6.63611111111111,9.06388888888889,1.18,0,0,0,0,0
2024-07-27 15:00:00,1.58777777777778,4.48,6.45777777777778,8.89111111111111,1.20777777777778,0,0,0,0,0
2024-07-27 16:00:00,1.56111111111111,4.32388888888889,6.33111111111111,8.79222222222222,1.20777777777778,0,0,0,0,0
2024-07-27 17:00:00,1.99388888888889,4.27222222222222,6.15277777777778,8.76722222222222,1.18,0,0,0,0,0
2024-07-27 18:00:00,2.47722222222222,4.55777777777778,6.02611111111111,8.61777777777778,1.18,0,0,0,0,0
2024-07-27 19:00:00,2.58388888888889,4.86888888888889,5.87222222222222,8.56777777777778,1.18,0,0,0,0,0
2024-07-27 20:00:00,3.24777777777778,5.23111111111111,5.77,8.49388888888889,1.18,0,0,0,0,0
2024-07-27 21:00:00,3.69611111111111,5.61611111111111,5.66777777777778,8.39388888888889,1.15277777777778,0,0,0,0,0
2024-07-27 22:00:00,5.17888888888889,6.63611111111111,5.59111111111111,8.295,1.18,0,0,0,0,0
2024-07-27 23:00:00,5.385,7.87,5.53888888888889,8.195,1.15277777777778,0,1,0,0,0
2024-07-28 00:00:00,4.37611111111111,7.19222222222222,5.51388888888889,8.095,1.15277777777778,0,0,0,0,0
2024-07-28 01:00:00,3.88,6.91388888888889,5.48777777777778,7.97,1.15277777777778,0,0,0,0,0
2024-07-28 02:00:00,3.38,6.68722222222222,5.46222222222222,7.87,1.09888888888889,0,0,0,0,0
2024-07-28 03:00:00,3.30111111111111,6.535,5.41111111111111,7.77,1.09888888888889,0,0,0,0,0
2024-07-28 04:00:00,3.45888888888889,6.38222222222222,5.385,7.67,1.09888888888889,0,0,0,0,0
2024-07-28 05:00:00,3.51222222222222,6.20388888888889,5.36,7.61888888888889,1.07111111111111,0,0,0,0,0
2024-07-28 06:00:00,3.08888888888889,5.87222222222222,5.30777777777778,7.46888888888889,1.07111111111111,0,0,0,0,0
