DateTime,AirTemp_C,Soil1Temp_C,Soil2Temp_C,Soil3Temp_C,Soil4Temp_C,ShortwaveFlux_Wm2_Avg,Rain_mm_Tot,LightningStrikes_Tot,LightningDist_km_Avg,WindSpeed_ms_Avg,VaporPressure_mbar_Avg,Pressure_mbar_Avg,RelativeHumidity_pct,TCDT_C
11-Aug-2023 14:00:00,18.66,17.41,11.7,1.761,0.234,265,0,0,0,0.542,15.73,979.49,71.9,1.342
11-Aug-2023 15:00:00,19.58,17.82,12.09,1.691,0.209,268.3,0,0,0,0.599,15.875,979.3333,67.7,1.418
11-Aug-2023 16:00:00,20.28,18.12,12.4,1.654,0.199,231.7,0,0,0,0.487,15.975,979.0583,65.6,1.36
11-Aug-2023 17:00:00,21.34,18.56,12.43,1.637,0.194,203.2,0,0,0,0.502,15.95,978.525,60.9,1.32
11-Aug-2023 18:00:00,21.55,18.25,12.68,1.636,0.19,217.8,0,0,0,0.556,15.61667,978.1,60.9,1.325
11-Aug-2023 19:00:00,21.49,17.8,12.54,1.631,0.187,173.2,0,0,0,0.48,15.56667,977.8083,60.8,1.32
11-Aug-2023 20:00:00,20.68,16.71,12.03,1.626,0.186,99.6,0,0,0,0.618,15.15833,977.775,63.2,0.321
11-Aug-2023 21:00:00,19.52,15.53,11.62,1.624,0.188,55.17,0,0,0,0.602,14.88333,977.975,68,1.323
11-Aug-2023 22:00:00,18.21,14.24,10.94,1.618,0.189,19.33,0,0,0,0.705,14.70833,977.7583,72.2,1.318
11-Aug-2023 23:00:00,17.29,12.99,10.16,1.605,0.189,2.917,0,0,0,0.699,14.61667,977.5917,75.5,1.312
12-Aug-2023 00:00:00,16.33,11.93,9.52,1.596,0.19,0,0,0,0,0.613,14.61667,977.7083,82.6,1.319
12-Aug-2023 01:00:00,15.48,10.97,8.89,1.588,0.19,0,0,0,0,0.456,14.48333,977.7166,86.1,1.323
12-Aug-2023 02:00:00,14.15,10.03,8.3,1.584,0.193,0,0,0,0,0.453,14.1,977.575,88.7,1.322
12-Aug-2023 03:00:00,14.03,9.62,7.971,1.571,0.193,0,0,0,0,0.421,14.04167,977.0834,85.1,1.321
12-Aug-2023 04:00:00,14.98,9.62,7.787,1.565,0.197,0,0,0,0,0.63,14.23333,976.725,82.2,1.311
12-Aug-2023 05:00:00,14.46,9.5,7.573,1.558,0.198,0,0,0,0,0.841,13.79167,976.4417,84.3,1.313
12-Aug-2023 06:00:00,13.28,9.1,7.24,1.547,0.199,2.083,0,0,0,0.868,12.65833,976.0333,80.6,1.396
12-Aug-2023 07:00:00,12.58,8.74,7.005,1.539,0.2,14.08,0,0,0,0.987,11.475,975.6417,78.8,1.322
12-Aug-2023 08:00:00,11.99,8.68,6.897,1.524,0.201,35.33,0,0,0,0.992,11.08333,975.2083,79.2,1.319
12-Aug-2023 09:00:00,11.88,8.9,6.824,1.503,0.203,61.25,0,0,0,0.708,10.90833,974.7583,77.8,1.319
12-Aug-2023 10:00:00,12.61,9.73,7.178,1.496,0.202,95.7,0,0,0,0.794,11.10833,974.2167,74.7,1.317
12-Aug-2023 11:00:00,13.61,10.84,7.747,1.5,0.2,141.7,0,0,0,1.052,11.275,973.4167,70.8,1.379
12-Aug-2023 12:00:00,14.97,12.3,8.53,1.504,0.2,228.7,0,0,0,1.106,11.65833,972.5167,66,0.342
12-Aug-2023 13:00:00,16.72,13.3,9.26,1.513,0.199,193.3,0,0,0,1.284,12.15,971.4833,61.7,1.357
12-Aug-2023 14:00:00,18.14,15.95,10.65,1.531,0.197,285.9,0,0,0,1.136,12.73333,970.525,60.3,1.341
12-Aug-2023 15:00:00,19.98,15.97,10.97,1.524,0.197,411.3,0,0,0,0.915,13.31667,969.55,55,1.342
12-Aug-2023 16:00:00,20.04,15.73,10.77,1.513,0.195,183.9,0,0,0,0.871,13.13333,969.3083,56.7,0.258
12-Aug-2023 17:00:00,19.82,16.26,11.2,1.518,0.193,233.8,0,0,0,1.034,13.125,968.8583,56.8,1.34
12-Aug-2023 18:00:00,19.41,15.95,11.24,1.518,0.19,168.6,0,0,0,1.033,13.28333,968.6417,60.4,1.339
12-Aug-2023 19:00:00,19.43,15.77,10.9,1.511,0.192,144.3,0,0,0,0.893,13.675,968.3334,61.7,1.344
12-Aug-2023 20:00:00,18.67,15,10.8,1.502,0.189,82.6,0,0,0,0.704,13.69167,968.2417,64.4,1.345
12-Aug-2023 21:00:00,18.23,14.07,10.25,1.493,0.193,44.42,0,0,0,0.603,13.80833,968.4333,66.2,1.348
12-Aug-2023 22:00:00,17.53,13.08,9.79,1.487,0.189,19.25,0,0,0,0.757,13.50833,968.6917,67.9,0.342
12-Aug-2023 23:00:00,16.42,11.98,9.11,1.472,0.188,8.58,0,0,0,0.453,13.15833,969.1083,74.6,1.35
13-Aug-2023 00:00:00,14.63,10.86,8.53,1.464,0.189,0,0,0,0,0.394,13.05833,969.4167,80.5,1.377
13-Aug-2023 01:00:00,14.46,10.44,8.16,1.455,0.188,0,0,0,0,0.447,13.05833,969.7833,79.9,1.377
13-Aug-2023 02:00:00,13.13,9.56,7.582,1.447,0.188,0,0,0,0,0.325,12.6,970.3666,86.6,1.377
13-Aug-2023 03:00:00,11.78,8.78,7.079,1.438,0.19,0,0,0,0,0.433,12.275,970.8083,91.4,1.379
13-Aug-2023 04:00:00,10.52,7.786,6.442,1.421,0.189,0,0,0,0,0.468,11.725,971.2667,93.6,1.38
13-Aug-2023 05:00:00,10.23,7.638,6.276,1.41,0.191,0,0,0,0,0.39,11.68333,971.925,94.1,1.381
13-Aug-2023 06:00:00,10.39,7.68,6.128,1.396,0.193,1.833,0,0,0,0.327,11.96667,972.6083,95.7,1.379
13-Aug-2023 07:00:00,10.69,7.806,6.135,1.385,0.192,10.92,0,0,0,0.393,12.14167,973.25,92,1.323
13-Aug-2023 08:00:00,11.66,8.4,6.307,1.375,0.192,25.83,0,0,0,0.393,12.35,973.8333,86.1,1.316
13-Aug-2023 09:00:00,11.8,8.93,6.372,1.365,0.192,32.42,0,0,0,0.507,11.53333,974.7333,82,0.323
13-Aug-2023 10:00:00,11.06,8.95,6.393,1.352,0.192,29.25,0,0,0,0.354,11.325,975.4833,89.5,1.14
13-Aug-2023 11:00:00,11.11,9.62,6.726,1.343,0.19,73.75,0.017,0,0,0.324,11.88333,976.2584,90.8,1.351
13-Aug-2023 12:00:00,11.77,10.9,7.157,1.339,0.188,126.8,0,0,0,0.538,11.925,976.95,83.2,1.352
13-Aug-2023 13:00:00,11.97,11.42,7.488,1.326,0.185,122.5,0.017,0,0,0.478,11.66667,977.6917,82.7,1.352
13-Aug-2023 14:00:00,13.38,13.4,8.31,1.328,0.184,230.2,0,0,0,0.472,12.69167,978.05,81.3,0.45
13-Aug-2023 15:00:00,15.04,14.41,8.99,1.332,0.182,173.4,0,0,0,0.381,13.075,978.5,74.4,1.367
13-Aug-2023 16:00:00,16.44,15.54,9.77,1.341,0.182,221.3,0,0,0,0.368,13.375,978.475,69,1.337
13-Aug-2023 17:00:00,19.11,16.79,10.9,1.361,0.18,287.9,0,0,0,0.442,13.95833,978.4,59,1.337
13-Aug-2023 18:00:00,19.65,16.88,11.1,1.364,0.178,208.9,0,0,0,0.394,13.69167,978.575,59.7,1.342
13-Aug-2023 19:00:00,20.62,17.04,11.66,1.378,0.177,271,0,0,0,0.381,13.475,978.65,52.4,1.353
13-Aug-2023 20:00:00,20.75,15.98,11.11,1.375,0.175,108.2,0,0,0,0.35,13.95,979.2583,62.3,1.346
13-Aug-2023 21:00:00,18.17,14.05,10.17,1.366,0.174,42.25,0,0,0,0.247,14.01667,979.8583,70.1,1.341
13-Aug-2023 22:00:00,15.39,11.97,9.18,1.359,0.174,12.33,0,0,0,0.3,13.30833,980.425,80.8,1.369
13-Aug-2023 23:00:00,12.63,10.01,8.1,1.346,0.173,1.75,0,0,0,0.442,12.375,981.1583,85.9,1.368
14-Aug-2023 00:00:00,12.3,9.56,7.708,1.341,0.174,0,0.085,0,0,0.38,12.40833,981.9833,87.8,1.355
14-Aug-2023 01:00:00,12.06,9.43,7.462,1.338,0.174,0,0.017,0,0,0.406,13.08333,982.7333,93.7,1.355
14-Aug-2023 02:00:00,11.6,9.09,7.117,1.333,0.175,0,0,0,0,0.475,12.96667,983.1,95.3,1.355
14-Aug-2023 03:00:00,10.89,8.67,6.78,1.328,0.177,0,0,0,0,0.422,12.425,983.275,94.4,1.351
14-Aug-2023 04:00:00,10.62,8.4,6.534,1.322,0.178,0,0.102,0,0,0.406,12.25,983.6917,96.4,1.354
14-Aug-2023 05:00:00,10.36,8.04,6.23,1.315,0.178,0,0.034,0,0,0.371,12.26667,984.0333,98,1.362
14-Aug-2023 06:00:00,9.18,7.073,5.613,1.304,0.181,1,0,0,0,0.424,11.48333,984.3,97.6,1.37
14-Aug-2023 07:00:00,8.92,6.824,5.506,1.289,0.183,15.25,0,0,0,0.345,11.14167,984.3917,97.7,1.353
14-Aug-2023 08:00:00,10,7.659,5.751,1.282,0.181,27.75,0.017,0,0,0.22,12.09167,984.5917,99.1,1.353
14-Aug-2023 09:00:00,10.78,8.61,6.055,1.276,0.181,43.17,0,0,0,0.161,12.90833,984.7667,99.9,1.354
14-Aug-2023 10:00:00,11.9,9.75,6.518,1.275,0.181,59.25,0,0,0,0.146,13.90833,984.925,99.9,1.351
14-Aug-2023 11:00:00,12.96,11.21,7.194,1.276,0.179,97.7,0,0,0,0.194,14.86667,984.9916,97.6,1.347
14-Aug-2023 12:00:00,14.23,12.88,8.03,1.283,0.178,147.6,0,0,0,0.228,14.8,984.9166,86.7,1.349
14-Aug-2023 13:00:00,16.17,15.37,9.31,1.296,0.177,240.6,0,0,0,0.446,14.35,984.575,71,1.34
14-Aug-2023 14:00:00,18.28,17.64,10.43,1.312,0.177,310.7,0,0,0,0.65,13.4,983.9,58.2,1.353
14-Aug-2023 15:00:00,17.01,15.38,9.78,1.303,0.175,73.67,0.034,0,0,0.506,13.49167,984.2167,82.4,1.351
14-Aug-2023 16:00:00,16.62,16.5,10.57,1.305,0.174,309.3,0,0,0,0.515,14.31667,983.4167,65.1,1.347
14-Aug-2023 17:00:00,19.18,16.79,11.1,1.316,0.173,177.5,0,0,0,0.678,14.09167,982.8167,56.8,1.348
14-Aug-2023 18:00:00,20.23,16.02,10.99,1.328,0.173,209.8,0,0,0,0.547,13.05833,982.1333,55.4,1.37
14-Aug-2023 19:00:00,18.97,15.05,10.62,1.328,0.171,74.17,0,0,0,0.189,13.50833,981.9,62.6,1.359
14-Aug-2023 20:00:00,19.42,14.47,10.38,1.336,0.171,139.8,0,0,0,0.5,12.85,981.3917,50,1.357
14-Aug-2023 21:00:00,18.33,12.64,9.49,1.334,0.173,35.92,0,0,0,0.34,11.35833,981.325,64.1,1.358
