Timestamp_UTC,AirTemp_C,GroundTemp_0cm_C,GroundTemp_16p7cm_C,GroundTemp_33p2cm_C,GroundTemp_49p4cm_C,QC_AirTemp_C,QC_GroundTemp_0cm_C,QC_GroundTemp_16p7cm_C,QC_GroundTemp_33p2cm_C,QC_GroundTemp_49p4cm_C
2023-08-13 10:00:00,13.377,9.928,5.488,1.886,0.19,0,0,0,0,0
2023-08-13 11:00:00,12.243,9.731,5.411,1.859,0.19,0,0,0,0,0
2023-08-13 12:00:00,11.224,9.114,5.205,1.886,0.218,0,0,0,0,0
2023-08-13 13:00:00,10.198,8.444,5.024,1.859,0.218,0,0,0,0,0
2023-08-13 14:00:00,9.903,8.195,4.947,1.832,0.218,0,0,0,0,0
2023-08-13 15:00:00,9.682,8.095,4.844,1.832,0.218,0,0,0,0,0
2023-08-13 16:00:00,9.632,8.17,4.818,1.832,0.19,0,0,0,0,0
2023-08-13 17:00:00,10.026,8.519,4.792,1.832,0.19,0,0,0,0,0
2023-08-13 18:00:00,9.336,8.668,4.792,1.805,0.218,0,0,0,0,0
2023-08-13 19:00:00,9.064,8.618,4.766,1.805,0.218,0,0,0,0,0
2023-08-13 20:00:00,9.287,8.817,4.766,1.778,0.19,0,0,0,0,0
2023-08-13 21:00:00,9.756,9.139,4.766,1.778,0.218,0,0,0,0,0
2023-08-13 22:00:00,10.907,9.608,4.818,1.778,0.19,0,0,0,0,0
2023-08-13 23:00:00,11.88,10.222,4.947,1.778,0.19,0,0,0,0,0
2023-08-14 00:00:00,13.546,10.98,5.128,1.778,0.19,0,0,0,0,0
2023-08-14 01:00:00,15.175,12.219,5.308,1.778,0.19,0,0,0,0,0
2023-08-14 02:00:00,16.463,13.401,5.591,1.778,0.19,0,1,0,0,0
2023-08-14 03:00:00,16.01,12.944,5.565,1.778,0.19,0,0,0,0,0
2023-08-14 04:00:00,14.529,12.558,5.488,1.778,0.19,0,0,0,0,0
2023-08-14 05:00:00,12.944,11.516,5.385,1.751,0.218,0,0,0,0,0
2023-08-14 06:00:00,10.687,10.345,5.179,1.751,0.218,0,0,0,0,0
2023-08-14 07:00:00,9.682,9.064,4.921,1.724,0.246,0,0,0,0,0
2023-08-14 08:00:00,11.346,8.195,4.792,1.724,0.218,0,0,0,0,0
2023-08-14 09:00:00,10.271,7.97,4.714,1.724,0.218,0,0,0,0,0
